row_in_brouwer_2019.csv,title,average_number_records_to_discovery,average_percentage_records_to_discovery,n_trials_discovered,search,key,doi
3108,Clinical factors associated with relapse in primary care patients with chronic or recurrent depression.,191.63,0.3763,62,behavior,EWILQGGR,10.1016/j.jad.2006.10.023
50419,Cognitive and affective trait and state factors influencing the long-term symptom course in remitted depressed patients,201.23,0.3951,62,additional,LKYETG4X,10.1371/journal.pone.0178759
10995,An evaluation of an integrated model of relapse in depression.,211.34,0.415,62,cognitive,2SBHSG6Y,10.1016/j.jad.2009.11.015
31792,Eighteen months of drug treatment for depression: predicting relapse and recovery.,232.79,0.4571,62,personality,QZ7VCZGG,10.1016/j.jad.2008.08.002
8164,Predictors of Depressive Relapse During a Two Year Prospective Follow-up after Cognitive and Behavioral Therapies.,243.95,0.4791,62,behavior,CLRX7Z9K,NA
4544,Predictors of longitudinal outcomes after unstable response to acute-phase cognitive therapy for major depressive disorder.,280.89,0.5516,62,behavior,THUUWIKJ,NA
50614,Initial Steps to inform selection of continuation cognitive therapy or fluoxetine for higher risk responders to cognitive therapy for recurrent major depressive disorder,285.39,0.5604,62,additional,ESDSJLZY,10.1016/j.psychres.2017.03.032
10525,"Moderators of continuation phase cognitive therapy's effects on relapse, recurrence, remission, and recovery from depression.",288.9,0.5673,62,cognitive,UDJBFIDI,10.1016/j.brat.2010.01.006
18077,How does cognitive therapy prevent relapse in residual depression? Evidence from a controlled trial.,296.11,0.5815,62,cognitive,2AZSPKAH,NA
17930,"Dependency, matching adversities, length of survival and relapse in major depression.",301.66,0.5924,62,cognitive,AIY8LSHA,NA
12171,Improved cognitive content endures for 2 years among unstable responders to acute-phase cognitive therapy for recurrent major depressive disorder.,303.16,0.5953,62,cognitive,VIPWWVAK,10.1017/S0033291715001191
12719,Patients' competence in and performance of cognitive therapy skills: relation to the reduction of relapse risk following treatment for depression.,304.52,0.598,62,cognitive,3U78QIU4,10.1037/0022-006X.75.4.523
16985,Extreme response style in recurrent and chronically depressed patients: change with antidepressant administration and stability during continuation treatment.,346.02,0.6795,62,cognitive,2MY5I4VV,10.1037/0022-006X.75.1.145
29968,Personality and clinical predictors of recurrence of depression.,348.77,0.6849,62,personality,BBB3EWKW,10.1176/ps.50.3.376
33776,Personality and outcome in depression: an 18-month prospective follow-up study.,350.94,0.6891,62,personality,NS8IIAUK,NA
50061,Practice of therapy acquired regulatory skills and depressive relapse/recurrence prophylaxis following cognitive therapy or mindfulness based cognitive therapy,366.06,0.7188,62,additional,LPXXDQJT,10/ghbp29
50935,Negative Self-Referential Processing Predicts the Recurrence of Major Depressive Episodes,397.98,0.7815,62,missing,J6YHQ5IN,10.1177/2167702616654898
31648,Personality and social support as predictors of first and recurrent episodes of depression.,475.95,0.9346,62,personality,LUHSYTDF,10.1016/j.jad.2015.09.020
50242,Repetitive negative thinking as a predictor of depression and anxiety: A longitudinal cohort study,495.19,0.9724,62,additional,Y7EH4ZIC,10.1016/j.jad.2018.08.037
30274,Positive and negative life events and personality traits in predicting course of depression and anxiety.,511.65,1.0047,62,personality,7BGWZTMX,10.1111/j.1600-0447.2011.01753.x
18400,Comparing chronic interpersonal and noninterpersonal stress domains as predictors of depression recurrence in emerging adults.,577,1.1331,62,cognitive,KFHYW2QB,NA
14717,Extreme response style and symptom return after depression treatment: The role of positive extreme responding.,613.77,1.2053,62,cognitive,DX4Y69R6,NA
16393,Cognitive and life stress predictors of relapse in remitted unipolar depressed patients: test of the congruency hypothesis.,648.05,1.2726,62,cognitive,2DVKT87D,NA
12412,"Vulnerability before, during, and after a major depressive episode: a 3-wave population-based study.",763.89,1.5001,62,cognitive,KYPB9HTF,10.1001/archpsyc.61.10.990
22478,"Is Experiential Avoidance a Mediating, Moderating, Independent, Overlapping, or Proxy Risk Factor in the Onset, Relapse and Maintenance of Depressive Disorders?",841.15,1.6518,62,cognitive_additional,AIMEREX6,10.1007/s10608-015-9747-8
14386,Metacognitive awareness and prevention of relapse in depression: empirical evidence.,906.55,1.7802,62,cognitive,GH8W9SYE,NA
47412,Adult attachment predicts the seven-year course of recurrent depression in primary care,1308.11,2.5688,62,additional,4J6HHMRA,10.1016/j.jad.2017.08.009
8173,Longitudinal follow-up of unipolar depressives: An investigation of predictors of relapse.,1632.69,3.2061,62,behavior,UHC7VM8L,NA
38669,Clinical presentation and course of depression in youth: does onset in childhood differ from onset in adolescence?,1669.45,3.2783,62,psychodynamic,IYJSZWT9,10.1097/00004583-200401000-00015
33857,"The influence of psychopathology, personality, and marital interaction on the short-term course of major depression.",1942.44,3.8144,62,personality,UF5F6JV6,NA
32462,Immature dependence and self-criticism predict the recurrence of major depression.,3489.77,6.8529,62,personality,IXTYMFJG,10.1002/jclp.20263
23786,The association between levels of cortisol secretion and fear perception in patients with remitted depression predicts recurrence,4082.48,8.0168,62,cognitive_additional,TCG4L3H4,10.1097/01.nmd.0000228502.52864.ce
6786,Group treatment of depressed individuals: The coping with depression course.,4244.66,8.3353,62,behavior,UD87M8H3,NA
